school_name,address,phone,email,source_url
Gwangju Songwon Elementary School,"Songwon Elementary School, 73 Songam-ro, Nam-gu, Gwangju, South Korea",,,https://www.theworknplay.com/Work/GwangjuSongwonElementarySchool
Jess English Studio,"196-14 Bangi-dong, Songpa-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/JessEnglishStudio
Poly Gimhae,"#501, 5F, 1332-1 Yulha-dong, Gimhae-si, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/PolyGimhae11
Altiora Gwangyang,"2F - 3F, 261 Jungma-ro, Gwangyang-si, Jeollanam-do, South Korea",,,https://www.theworknplay.com/Work/AltioraGwangyang
Creverse April Gwangju Seogu,"3F, Daekyo Building, 90 Sangmujungang-ro, Seo-gu, Gwangju, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilGwangjuSeogu
Avalon Daejeon,"326-8 Yucheon-dong, Jung-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/AvalonDaejeon
SLP Incheon Namdong,"3F, Yongcheon-ro 87beon-gil, Namdong-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/SLPIncheonNamdong
GIA Micro School,"5 Hakdong-ro 11-gil, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/GIAMicroSchool
Creverse April Seongbuk Gireum,"48 Dongsomun-ro 42na-gil, Seongbuk-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseAprilSeongbukGireum
Creverse CDI Busanjin,"466 Gaya-daero, Busanjin-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIBusanjin
Seoul Academy,"16 Samseong-ro 64-gil, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SeoulAcademy
Elpis Language School,"Jungang Plaza #903, Dongducheon-ro, Dongducheon-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/ElpisLanguageSchool
ESL AGENT,"135 Yeongdeungpo-ro, Dangsan 1(il)-dong, Yeongdeungpo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/ESLAGENT
Creverse April Jinju,"4F, 236 Jinyangho-ro, Jinju-si, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilJinju
Creverse iGarten Daegu Dalseo,"5F, 1856 Wolseong-dong, Dalseo District, Daegu, South Korea",,,https://www.theworknplay.com/Work/CreverseiGartenDaeguDalseo
JLS Chuncheon,"9F, 9 Toegyenonggong-ro, Chuncheon-si, Gangwon-do, South Korea",,,https://www.theworknplay.com/Work/JLSChuncheon
MPoly Daejeon,"6F, MB Building, 33 Munye-ro, Seo-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/MPolyDaejeon11
Creverse CDI Mokdong,"3F, 233-1 Mokdongdong-ro, Yangcheon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIMokdong
Creverse April Bucheon Jungdong,"9 Jomaru-ro 291beon-gil, Bucheon-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseAprilBucheonJungdong
RISE Daejeon Dunsan,"6F, 129 Dunsan-ro, Seo-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/RISEDaejeonDunsan
JUS Institute,"2F, 1651 Yangjae-daero, Gangdong-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/JUSInstitute
EiE Hwasun Jeollanamdo,"Daebang building, 3rd Floor, 183 Gwangdeok-ro, Hwasun-eup, Hwasun-gun, Jeollanam-do, South Korea",,,https://www.theworknplay.com/Work/EiEHwasunJeollanamdo
Korea International Christian School Incheon,"136 Munhak-gil, Nam-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/KoreaInternationalChristianSchoolIncheon
Francis Parker Collegiate Pyeongtaek Godeok,"3F, 334-4 Eoyeom-ri, Godeok-myeon, Pyeongtaek, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiatePyeongtaekGodeok
SLP Chuncheon,"99 Anmasan-ro, Chuncheon-si, Gangwon-do, South Korea",,,https://www.theworknplay.com/Work/SLPChuncheon
Edisen Academy,,,,https://www.theworknplay.com/Work/edisen
PIE English Academy,"South Korea, Gyeonggi-do, Seongnam-si, Bundang-gu, Jeongja-dong, Neuti-ro, 27 8층",,,https://www.theworknplay.com/Work/PIEEnglishAcademy
MPoly Bundang,"2F, Adena Palace, 275 Seongnam-daero, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/MPolyBundang11
SMKA,"South Korea, Seoul, Seocho-gu, 강남대로8길 23-11",,,https://www.theworknplay.com/Work/SMKA
Saeronam Christian School,"Saeronam Christian School, 360 Mannyeon-dong, Seo-gu, Daejeon, South Korea",,,https://www.theworknplay.com/Work/SaeronamChristianSchool
i Sponge English Gwanak,"iSponge English Gwanak, 3rd Floor, Taeyang Building, 15 Boramae-ro, Gwanak-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/iSpongeEnglishGwanak
CANB Suwon,"3F, 1527 Deogyeong-daero, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CANBSuwon
CANB Yongin Suji,"2F, Biz Maru Building, 51-11 Suji-ro 296beon-gil, Suji-gu, Yongin-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CANBYonginSuji
Creverse April Suncheon,"18-7 Wangji 3-gil, Suncheon-si, Jeollanam-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilSuncheon
RISE,"5F, EK Tower, 407 Teheran-ro, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/RISE
Creverse CDI April Seongnam,"3F, 267 Sujeong-ro, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilSeongnam
Francis Parker Collegiate Uijeongbu,"5F, Howon-dong Geowon Plaza, 137 Hoeryong-ro, Uijeongbu, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateUijeongbu
Creverse CDI Bundang,"2F - 4F, 26 Sunae-ro 46beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIBundang
BIS,"33 Jeongjail-ro, Geumgok-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/BIS
SLP Mokdong,"7F, 909-5 Mok-dong, Yangcheon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SLPMokdong
Altiora Busan Yeonje,"5F, 190 Gwajeong-ro, Yeonje-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/AltioraBusanYeonje
